0	-0.64384591;-0.03061295;0.19680233;-0.35155393;0.66630885;-0.12459558;0.32487831;0.09030751;-0.1431878;1.00183708;-0.65636548;-0.53182119;0.38854653;0.50545884;0.0497604;-0.08928738;-0.19847721;-0.02445205;0.00466711;0.11497985;-0.04421538;-0.15948529;0.02186179;-0.15321298;0.04837139
1	-0.53767409;0.74670637;0.72593871;0.312776;-0.11440795;0.04508791;-0.76258175;0.52741626;0.16052106;0.01442338;0.35855037;-0.09289096;-0.31731659;0.52612191;-0.20985871;0.07470367;0.22720464;-0.04084291;-0.05484926;-0.2518354;0.02135961;-0.07028876;0.03282917;-0.06162415;0.1034349
2	-0.76150795;0.26620923;0.08415047;-0.56457087;0.32278068;-0.58930363;-0.51426483;0.54224658;-0.80235661;-0.20638232;0.08824962;0.13844192;0.14404238;0.01163478;-0.21778341;-0.11236763;0.96777018;-0.04099165;-0.12782871;-0.01643766;0.27539331;0.25310385;0.23494356;-0.05124701;-0.07052853
3	1.29749579;-0.34923628;-0.36656753;-0.13878429;-0.20922029;-0.19439149;-0.86819748;-0.14280556;0.26634156;0.18017847;-0.48582641;-0.20611451;-0.02441806;-0.04129508;-0.22929158;-0.33671614;-0.14490697;0.31300361;0.46818705;-0.35417863;0.16569653;0.02163907;0.02203505;-0.25223557;-0.52811588
4	0.1091599;1.1607873;0.7860228;0.00921302;-0.13340327;-0.7882561;-0.51651918;-0.30447762;0.93824029;0.15974799;0.24395334;-0.46381483;-0.53672398;-0.06086116;-0.07842264;-0.09689802;0.95101494;0.28585446;-0.33359283;-0.10347062;0.2050315;-0.10252912;-0.40431834;-0.04122696;0.48331195
5	-0.69424096;0.0902362;-0.13894984;-0.36176522;-0.25823351;-0.2863324;-0.21290047;0.6287151;-0.24435655;0.08480055;0.34249482;-0.47399543;-0.39042434;-0.01287303;0.61503597;-0.56585776;-0.14630287;-0.29028071;-0.50153192;0.14957344;0.24812652;-0.39737874;0.17346633;0.42142996;-0.15627935
6	-0.46980372;0.28113354;0.46666579;-0.33739669;0.49976407;-0.62599365;0.12566603;0.02749766;-0.30633979;0.08948458;-0.22932878;0.07174088;-0.63942247;-0.31871298;-0.23938784;0.18459785;0.05776338;-0.19823464;-0.14842672;-0.26883846;0.13431393;-0.31745208;-0.14350049;-0.08809455;0.04681344
7	1.23815098;3.97001267;0.64348301;-0.69829141;1.12887297;1.40017791;1.90631169;0.07510643;-1.56405499;-1.40343378;0.37817515;0.12206623;1.20353731;0.07735295;0.03013803;-0.42234223;-0.30030574;0.68326249;-0.32662782;-0.6374498;0.64036662;0.36309674;-0.4648022;0.32790759;-0.08934802
8	0.8638346;0.67593033;0.06142212;0.47001833;0.87398817;-0.51925992;-0.19450548;-0.10437358;0.42683341;-0.04544041;0.20115621;-0.11805916;-0.12457591;0.04678156;0.11042958;0.10794303;0.23475941;-0.05773628;-0.12530317;-0.13577282;-0.03885488;-0.08768952;-0.10286446;0.06143928;-0.00751248
9	0.50301884;-0.14731858;0.15020366;-0.37938334;0.37133826;-0.48433737;0.09876357;-0.08576203;-0.28991683;0.13349799;-0.17418958;0.04451867;-0.44404438;-0.24418911;-0.24951288;0.12334387;-0.02223818;-0.15351269;-0.00583196;-0.21142001;0.18917664;-0.19709332;-0.03456584;-0.11376477;0.01054713
