0	0.35407539;1.38233049;1.03967539;0.35000216;0.46912222;-1.42966089;-0.17417618;-0.67918004;1.81405624;-0.0985937;0.29210411;-0.80455118;0.80105838;0.00557423;0.42049223;0.00740632;1.72447598;0.19337717;0.39388311;-0.01341014;0.40272676;0.06946267;-0.31122431;0.58748765;-0.76807523
1	0.71833789;0.61166442;0.63766715;0.12042803;0.21314228;-0.82409422;-0.04822789;-0.41103685;0.96664939;-0.09379391;0.23152522;-0.54710259;0.43386926;0.09360035;0.11777389;0.02217604;0.98634024;0.13042946;0.21649;-0.11958664;0.27293013;-0.08608898;-0.25324015;0.32738885;-0.44720358
2	1.50762283;-0.19771712;-0.70914928;1.40815251;-1.03427006;-0.55450337;0.20718813;0.10479281;0.07723234;-0.08695567;0.25281236;-0.03876776;-0.13650578;-0.16539556;-0.00527778;0.15606881;0.0108733;0.02227823;-0.04854787;0.08535007;-0.06453152;-0.06311756;0.03545399;0.09923801;-0.01240515
3	0.4462555;0.3607944;0.51353621;0.05202207;0.08801037;-0.38250177;-0.18112701;-0.07928754;0.59353844;-0.12784521;0.04704644;-0.36484605;0.18305942;-0.01127776;0.02497389;0.14563242;0.50898541;0.1159225;0.06208877;-0.41754579;0.093862;-0.16078561;-0.38281932;0.18732731;-0.05720454
4	-0.00943967;0.87950031;0.99461162;0.34203785;0.24876683;-0.79841095;-0.11309815;-0.29216083;1.14869577;-0.08765113;0.223682;-0.55141169;0.35518909;-0.07814458;0.12328093;0.10900853;0.96287795;0.15098944;0.19544725;-0.36175882;0.14937829;-0.16013808;-0.50327692;0.36320229;-0.22884091
5	-0.07253813;1.39794083;1.32462048;0.51947534;0.14730957;-1.05160883;-0.44753018;-0.42888732;1.85780243;-0.24638256;0.25218343;-0.69814402;0.51150083;-0.0629752;0.22729729;0.23279792;1.33971957;0.17939273;0.17962297;-0.68317065;0.12689734;-0.18222383;-0.77471697;0.57656555;-0.28816301
6	0.19356014;-1.64964012;1.49660134;0.02586924;-0.01321914;0.05993076;0.71744172;-0.62222426;-0.24312899;-0.13506234;0.14440793;-0.0092404;-0.17267204;0.05575;-0.10774106;-0.32605974;0.22499502;-0.37313899;-0.23512629;0.31446985;0.08005156;0.21632938;-0.41596337;0.02635932;-0.23938133
7	1.21348974;-0.97048695;0.54358282;-0.09638679;-0.07229352;-0.19922428;-0.17963443;-0.24593844;-0.09827044;-0.31987209;0.11325907;-0.6738272;-0.18291266;0.28976665;-0.1731893;0.19775279;-0.05894008;0.07592719;0.17071471;-0.15441617;0.45320448;-0.34593164;0.19734168;0.0964785;-0.03025526
8	0.78832881;-0.25706307;0.40430037;-0.1112356;0.0369834;-0.07926815;0.20228605;-0.23811389;0.08534006;0.03417562;0.03471313;-0.28292805;0.0464905;-0.03880814;-0.1251951;-0.02450619;0.2940747;-0.00436883;0.02601074;-0.03841435;0.11620656;-0.07318662;-0.15890421;0.08187402;-0.13400589
9	-0.41707262;0.41566814;0.45118355;-0.21313448;-0.00546734;-0.86754737;-0.14783345;0.14178413;-0.23867987;-0.09752195;0.10560764;-0.08618347;-0.02300504;-0.06310669;0.01190738;0.16956936;0.86761179;-0.02614805;0.26193067;-0.26919057;0.19206092;-0.00412254;-0.13019925;0.04483576;-0.04556608
