0	1.23451406;-1.13447865;-2.13924087;0.08165954;0.08818188;1.59603684;-0.53410109;0.2646318;-0.36815839;0.4082755;-1.72942088;-1.24627099;0.25727237;-1.01016759;0.15647886;0.63157284;0.28693244;0.72481967;1.04006449;0.20289594;0.63949792;-0.62396263;-0.00505955;-0.29817705;0.17402124
1	0.61990957;0.62866244;-0.47890896;0.39706816;-0.17441006;0.61046622;-0.14817127;-0.21709132;0.00287358;0.13030951;0.1483796;0.80922804;0.03096663;-0.17698023;0.27169899;-0.07087537;-0.06739901;0.73885272;0.2868925;0.16884547;-0.22331718;-0.09467316;0.21002829;-0.19418303;0.03765525
2	-0.93304603;-2.66536475;-0.63504312;0.50607746;0.47321781;1.13850689;0.38484944;-0.27562184;-0.30890009;0.43167622;-0.78446508;-0.18429469;-0.05981587;-0.48500964;-0.15695437;0.45701633;0.04876571;0.43778817;0.15713261;0.15240209;0.16680155;-0.07716888;-0.38455947;-0.1375576;-0.07694131
3	-0.21323294;0.97637875;-0.55520708;-1.17211076;-1.07262637;0.99769376;-0.43102676;-0.18159018;0.56896294;0.53868514;0.12203988;0.89405347;-0.3694632;-0.22524865;0.2788435;-0.18776504;0.3019844;0.05530702;0.19613303;-0.11198127;-0.3227239;0.47109317;-0.2923888;-0.24436516;0.02039206
4	-1.09389009;-0.43412273;-0.4786264;-0.2494743;-0.61994371;0.9525555;-0.16011015;-0.16766035;0.04736255;0.18393209;-0.17217143;0.44245363;-0.37600651;-0.37230055;0.32806958;0.04986676;-0.04488545;0.44995784;0.18052181;0.11671774;-0.07075152;-0.01665694;-0.00309478;-0.18288983;0.11600672
5	-1.89084715;-0.6786536;-0.35695341;0.16886009;0.26166385;0.67657319;-0.38825658;-0.82678886;-0.38642466;0.39047437;-0.5321156;-0.17965381;-0.18197164;-0.17950301;0.03814454;0.18459641;0.15902897;0.23725494;0.17242814;0.1666075;0.19555567;-0.0193501;-0.11927831;-0.0113951;-0.09141618
6	-0.57888659;0.10390646;-0.61641952;-0.07709455;-0.17227085;0.61450316;0.15192426;-0.21286517;0.06292976;0.22615237;0.05594278;0.45892963;0.0568683;-0.0941711;0.22606166;-0.0451498;-0.08925837;0.41160417;0.11395863;0.10126274;-0.08540967;0.06980494;0.07476028;-0.13181162;0.0194584
7	-0.86938641;-0.96669085;-0.81891321;-0.01885084;-0.10750634;0.77761978;0.25563373;-0.14218836;0.12093585;0.15472712;-0.19635046;0.17557174;0.10141699;-0.1259783;0.20677437;-0.02446993;-0.19723316;0.36510831;0.04160656;0.01830161;-0.09089396;0.15258337;-0.00108957;-0.15608332;-0.02340282
8	1.72713005;-1.46732716;-0.11411721;0.13366812;0.0019945;0.86223108;-0.31399655;-0.25273656;-0.50450397;0.33619493;0.02539769;0.8201721;-0.13877807;0.06345509;0.74127288;-0.179039;-0.55821215;0.31005221;0.18262885;0.63831775;-0.74867728;-0.55501126;-0.15771053;0.4847932;-0.36120929
9	1.94569552;0.49537701;1.40636412;1.59201232;-0.58313572;1.42176448;-0.38189613;0.35508432;0.75126291;0.39865482;1.01792954;1.27060621;0.55251224;-0.41145852;-0.87308889;0.51160387;-0.41200569;0.70531389;0.15403151;0.53869904;-0.75471144;-0.27241146;0.10213688;0.27832243;-0.10325824
