0	5.53074430e-01;4.91345378e-02;1.58463921e-01;7.94551691e-02;-4.62283008e-02;-4.64668919e-02;1.99349845e-02;9.42487821e-03;5.26057494e-02;1.60759629e-01;-4.32954982e-02;1.43203602e-02;-6.23154436e-02;4.96597932e-02;2.32215293e-02;9.79450942e-03;-7.33595542e-03;1.14229797e-04;1.66534220e-02;3.67673193e-03;-1.63646617e-03;5.04520974e-03;-9.66018321e-03;-7.04274403e-03;-4.82262066e-03
1	0.26625822;-0.10894141;-0.33202756;-0.11903151;0.10825593;-0.19979914;-0.03703313;-0.02449502;-0.08516617;0.04749749;0.04675683;0.03709353;-0.0028214;0.03050912;-0.01689019;-0.01911964;-0.01812028;0.04313291;0.05429742;-0.00371683;0.00047516;-0.01255096;-0.01237637;-0.02635562;-0.02321324
2	2.05762092e-01;4.96275805e-01;-8.92006679e-02;-2.92299027e-02;-1.10956126e-02;1.69709030e-02;-8.59357551e-03;-2.19098499e-02;1.56293845e-02;9.65404728e-03;-1.05304008e-02;8.44042214e-03;2.15631228e-02;2.88832360e-03;-1.32046009e-02;3.53581113e-03;1.66065374e-03;-3.53671446e-05;1.02943482e-02;-4.76898703e-03;-4.07722202e-03;-9.08206403e-04;5.79325504e-03;-1.75028158e-03;2.46408462e-03
3	0.18684404;-0.04845574;-0.19956081;-0.06628961;0.04881029;-0.12902406;-0.0125806;0.08399182;0.04084208;-0.01055052;-0.01243312;0.0152995;-0.00951383;-0.02678004;0.00689124;0.01835147;0.00222139;0.0101881;0.0217542;-0.01618586;-0.0044256;0.01223149;0.01759395;-0.04150083;0.00650136
4	0.12810097;-0.02189054;-0.17196963;0.00608097;0.05628785;0.01275411;0.22835742;-0.05640567;-0.01475897;0.05346013;0.10727243;-0.15320244;-0.06768188;0.04387416;-0.04562805;-0.02733747;-0.05871744;0.07574881;0.07483672;-0.04121201;0.03092294;0.05925078;0.01166443;0.03698182;-0.02108182
5	0.10431668;-0.03443427;-0.30878807;0.40679703;-0.07297976;-0.01887397;-0.12163333;-0.02758115;-0.03996219;0.01831077;-0.00542112;-0.01968337;0.02253532;0.00831451;0.00913487;-0.02818251;-0.00447212;0.02666488;0.0394025;-0.02284873;-0.00287004;-0.01644059;0.01481673;0.01160604;-0.00071432
6	0.25446518;-0.07041139;-0.16884271;-0.03820591;0.20285928;0.04511678;0.15188633;-0.22824578;-0.05878178;-0.01142079;-0.41345133;-0.18118584;-0.10093461;-0.19182001;0.10262501;0.01080244;0.0500276;-0.06839954;-0.05620228;-0.01587122;-0.00697185;0.01409253;0.01007478;0.04836456;0.01338078
7	0.54991155;0.06513381;0.22143123;0.13149392;0.00928459;-0.22949669;0.0901376;-0.02437029;-0.07109347;-0.13105999;-0.01536178;-0.08514545;0.06193579;-0.01460042;-0.09546913;-0.01425484;0.02416817;-0.0670573;0.02977096;-0.03816111;-0.00745529;0.01366419;-0.04109306;-0.04243231;-0.01915252
8	0.36267158;0.02255754;0.05440537;0.04943913;0.01498619;-0.07454856;0.0341085;-0.0132169;-0.00088492;-0.01597329;-0.0379046;-0.0307373;-0.00252597;0.00914767;-0.01891107;0.00608176;0.00514601;-0.00597627;0.01852364;-0.00939606;-0.00304786;0.01218824;-0.00754071;-0.01429627;-0.00580183
9	0.26274735;0.00298317;-0.06940058;0.02134641;0.01528373;0.03463913;0.05760273;0.00666136;0.01519508;0.00680625;-0.02406991;-0.0024039;-0.00877305;0.00399485;0.01296702;0.01662874;0.0021571;0.00485466;0.00845451;0.00678419;-0.00992516;0.01132187;0.0033829;-0.00544564;-0.00139541
10	0.20600864;0.08836917;0.00399889;0.04493081;0.20437216;0.17237158;-0.03040286;0.25523279;-0.19743112;0.09200319;-0.03203148;-0.00609656;0.01982611;0.02196702;-0.00972553;-0.00550971;-0.01575768;0.02457373;-0.00758635;0.00996905;0.00282587;0.00241988;-0.02001764;-0.0039407;0.02574814
11	4.67945217e-01;-1.18835869e-01;-1.98347132e-01;-1.23473229e-01;-3.87488524e-02;-5.90187036e-02;-2.75155708e-02;9.53147083e-02;7.53819234e-02;3.37681741e-02;6.37851643e-03;3.11570897e-04;-2.10542505e-02;-1.28157646e-02;2.06351547e-02;-1.57217293e-02;-1.60501929e-03;-9.66162381e-03;-9.41588892e-04;-9.55289561e-03;-2.01226589e-02;-5.31821227e-03;-6.63155761e-03;-2.39750937e-02;-3.77661636e-04
12	0.18225223;-0.06322469;-0.16493991;-0.08449483;0.05425568;-0.16144595;-0.03793122;0.06489361;0.00415484;-0.0585058;-0.0626265;-0.02713468;0.02437028;0.05710978;-0.00471795;-0.06603244;-0.02105799;-0.05199937;0.22047395;0.34500061;0.00105095;-0.07382974;-0.00698085;-0.0020788;0.02083603
